Gene ID	Gene Name	HUP-T4	KLM-1	MIA Paca-2	PK-45H	PK-45P	PK-59	PK-8	TCC-PAN2	YAPC
ENSG00000000003	TSPAN6	18	20	0.1	4	1	11	14	2	14
ENSG00000000419	DPM1	40	79	51	36	59	68	69	62	43
ENSG00000000457	SCYL3	2	2	1	1	1	0.8	1	1	2
ENSG00000000460	C1orf112	5	5	5	4	4	2	3	2	3
ENSG00000000938	FGR	0.1						0.1		0.1
ENSG00000000971	CFH	4	0.1		0.8	3		7	12	3
ENSG00000001036	FUCA2	29	11	49	48	36	36	34	31	36
ENSG00000001084	GCLC	6	6	3	4	11	3	9	7	5
ENSG00000001167	NFYA	12	7	17	14	13	10	11	14	40
ENSG00000001460	STPG1	1	2	0.6	2	0.9	2	1	0.8	1
ENSG00000001461	NIPAL3	6	4	1	5	4	7	4	4	3
ENSG00000001497	LAS1L	21	20	30	17	14	15	21	12	15
ENSG00000001561	ENPP4	5	2		2	1	2	1	0.6	7
ENSG00000001617	SEMA3F	9	7	1	6	3	11	22	3	0.8
ENSG00000001626	CFTR						0.1		0.2	
ENSG00000001629	ANKIB1	11	8	14	19	17	15	15	10	12
ENSG00000001630	CYP51A1	2	3	2	2	2	7	4	3	3
ENSG00000001631	KRIT1	4	6	7	7	10	6	6	5	6
ENSG00000002016	RAD52	3	4	3	4	2	2	2	2	1
ENSG00000002079	MYH16	0.1	0.9	2	1	1	1	1	0.6	0.6
ENSG00000002330	BAD	14	18	6	16	13	14	15	22	29
ENSG00000002549	LAP3	28	16	24	38	12	20	13	14	35
ENSG00000002586	CD99	18	28	55	24	29	123	13	10	78
ENSG00000002587	HS3ST1	3	1		2	4	10	6	3	3
ENSG00000002726	AOC1	13	3		0.1	0.1	21	5	6	29
ENSG00000002745	WNT16	0.1	0.1	0.2	0.1			0.6	0.1	0.1
ENSG00000002746	HECW1			0.1	0.1	0.1			0.1	
ENSG00000002822	MAD1L1	4	6	7	11	13	5	5	7	8
ENSG00000002834	LASP1	131	112	55	97	91	101	65	114	156
ENSG00000002919	SNX11	11	6	7	5	4	5	6	5	10
ENSG00000002933	TMEM176A	0.7	0.1				0.3		1	9
ENSG00000003056	M6PR	31	58	50	63	38	23	43	24	17
ENSG00000003096	KLHL13		3	0.2				0.9		0.2
ENSG00000003137	CYP26B1	0.6	5	1	2	0.5	3	4	3	0.1
ENSG00000003147	ICA1	6	3	0.1	2	1	1	2		6
ENSG00000003249	DBNDD1	5	6	14	8	2	2	2	0.3	13
ENSG00000003393	ALS2	2	3	6	7	6	4	3	3	3
ENSG00000003400	CASP10	3	1	3	1	1	0.7	1	1	2
ENSG00000003402	CFLAR	2	2	4	3	4	4	2	5	3
ENSG00000003436	TFPI	5	2	16	14	11	1	2	5	3
ENSG00000003509	NDUFAF7	4	3	7	4	2	3	3	3	2
ENSG00000003756	RBM5	8	6	5	10	5	9	5	6	6
ENSG00000003987	MTMR7	0.1	0.2	0.2	0.4	0.2	0.2		0.2	0.1
ENSG00000003989	SLC7A2	0.7	1	0.1	5	0.4	4	0.2	0.4	0.3
ENSG00000004059	ARF5	35	55	52	42	91	65	49	43	87
ENSG00000004139	SARM1	1	0.7	1	0.5	0.1	0.3	0.4	0.1	0.6
ENSG00000004142	POLDIP2	58	68	109	73	70	64	65	83	59
ENSG00000004399	PLXND1	7	6	19	7	8	15	4	4	10
ENSG00000004455	AK2	28	41	50	31	18	26	36	28	18
ENSG00000004468	CD38		0.1							
ENSG00000004478	FKBP4	28	94	99	71	46	37	33	19	19
ENSG00000004487	KDM1A	30	73	34	28	12	116	32	17	22
ENSG00000004534	RBM6	10	10	10	12	6	14	6	7	8
ENSG00000004660	CAMKK1	1	2	2	1	0.9	0.9	2	0.9	0.4
ENSG00000004700	RECQL	13	13	27	28	29	7	15	7	9
ENSG00000004766	VPS50	3	3	2	3	5	2	2	2	2
ENSG00000004776	HSPB6	0.1	0.2	0.4	0.1	0.2	0.4	0.2	0.4	0.3
ENSG00000004777	ARHGAP33	2	1	2	4	4	5	3	5	3
ENSG00000004779	NDUFAB1	19	37	27	22	37	30	41	59	36
ENSG00000004799	PDK4	3	0.3	0.2	2	2	1		0.2	3
ENSG00000004838	ZMYND10	0.1	0.2	0.2	0.6	0.2	0.1	0.1	0.4	2
ENSG00000004848	ARX		0.2		0.1	0.2				0.1
ENSG00000004864	SLC25A13	12	18	21	17	22	17	14	19	14
