MIRNA	HOST	HOST_EXPR	HOST_TC	TARGET	TAR_EXPR	TAR_TC	DELTAG
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KAT6B	2.0	7	-8.96
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TMEM25	3.0	30	-10.33
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SSPN	0.7	8	-8.05
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HHATL	0.2	12	-8.04
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LRRC32	5.0	5	-13.16
hsa-miR-335-5p	RP11-2E11.6	0.1	1	IDH1	9.0	9	-7.45
hsa-miR-335-5p	RP11-2E11.6	0.1	1	BRAT1	7.0	6	-7.79
hsa-miR-335-5p	RP11-2E11.6	0.1	1	EDEM3	9.0	6	-12.82
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PTPRJ	2.0	8	-8.53
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SLC1A1	1.0	3	-9.33
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CTNND1	30.0	39	-9.0
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CNGB1	0.0	9	-12.5
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LENG9	9.0	1	-8.09
hsa-miR-335-5p	RP11-2E11.6	0.1	1	UBE2H	16.0	9	-16.29
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TSPAN15	5.0	8	-6.94
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LEMD3	4.0	6	-13.16
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DUSP16	7.0	6	-13.4
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CST3	60.0	3	-12.49
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CORO2B	0.9	4	-11.29
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RBM46	0.0	4	-12.58
hsa-miR-335-5p	RP11-2E11.6	0.1	1	EGLN1	6.0	2	-14.28
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KIAA0430	6.0	15	-13.73
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TGFB2	0.8	4	-8.76
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PLD4	0.1	6	-11.13
hsa-miR-335-5p	RP11-2E11.6	0.1	1	AGPAT3	4.0	18	-12.3
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KCNK9	0.0	6	-8.42
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ITGB8	1.0	5	-13.05
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZNF572	0.5	1	-15.24
hsa-miR-335-5p	RP11-2E11.6	0.1	1	EFCAB13	0.5	13	-9.09
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ESRP1	13.0	11	-11.92
hsa-miR-335-5p	RP11-2E11.6	0.1	1	UVSSA	3.0	8	-9.29
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DCAKD	5.0	8	-9.25
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SEPT4	1.0		-8.49
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HEYL	27.0	1	-8.31
hsa-miR-335-5p	RP11-2E11.6	0.1	1	IFI16	3.0	14	-13.69
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KDR	2.0	3	-11.51
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ANKRD53	3.0	7	-8.08
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SLC2A13	1.0	4	-7.91
hsa-miR-335-5p	RP11-2E11.6	0.1	1	XRRA1	0.8	20	-8.96
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CCSER2	2.0	10	-8.63
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CD164	22.0	11	-12.96
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GAL3ST4	0.4	8	-12.41
hsa-miR-335-5p	RP11-2E11.6	0.1	1	IGSF10	0.1	5	-8.25
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FFAR1	1.0	1	-14.97
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MEIS3P2	0.2	1	-8.47
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CLIP3	1.0	6	-8.64
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TMC6	3.0	24	-12.32
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MAP2K5	3.0	12	-15.03
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MLYCD	2.0	2	-9.5
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CHRM2	0.0	7	-10.09
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ATF2	4.0	21	-13.99
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CTNNBIP1	7.0	4	-8.58
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZNF827	1.0	10	-14.76
hsa-miR-335-5p	RP11-2E11.6	0.1	1	COL10A1	0.1	4	-9.58
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CD9	12.0	13	-12.06
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MAPK1	6.0	4	-14.35
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CCDC88C	2.0	14	-8.27
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DAAM2	3.0	11	-12.42
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ESAM	5.0	6	-8.82
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZG16B	0.1	6	-11.2
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DISP1	0.9	3	-11.38
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NAALAD2	0.2	10	-12.24
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PROS1	2.0	5	-8.32
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ST3GAL5	1.0	13	-14.3
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ANKS4B	0.1	1	-9.57
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LTBP2	3.0	6	-12.69
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TPCN1	16.0	23	-15.96
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SCN9A	0.8	6	-8.67
hsa-miR-335-5p	RP11-2E11.6	0.1	1	OAS2	0.3	7	-9.16
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GULP1	2.0	18	-12.31
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LIN28B	0.0	1	-11.7
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CDK19	1.0	8	-8.53
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DDIT3	10.0	7	-9.1
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LCOR	2.0	8	-13.27
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GABARAPL1	24.0	19	-9.74
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CA5B	0.8	10	-11.85
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GALNTL5	0.0	11	-8.75
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DOCK11	0.4	4	-8.63
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CLIC2	1.0	4	-11.22
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LINC00487	0.0	3	-13.57
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GPR153	0.7	1	-9.05
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DAAM1	2.0	13	-14.74
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NUTM2A	0.1	2	-11.48
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SLC7A13	0.0	3	-7.79
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MYT1L	0.2	13	-8.42
hsa-miR-335-5p	RP11-2E11.6	0.1	1	IBTK	6.0	10	-8.92
hsa-miR-335-5p	RP11-2E11.6	0.1	1	VEGFA	10.0	29	-17.91
hsa-miR-335-5p	RP11-2E11.6	0.1	1	UGDH	9.0	12	-14.73
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HIC1	0.6	7	-9.12
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SLC33A1	7.0	6	-9.49
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FZD1	2.0	1	-7.07
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RAPGEF2	3.0	13	-12.03
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ADCK1	2.0	8	-8.35
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PEG3	0.7	10	-12.63
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NEURL2	0.5	2	-7.96
hsa-miR-335-5p	RP11-2E11.6	0.1	1	EVC	2.0	5	-7.21
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MEGF9	2.0	1	-8.85
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SPTBN5	0.5	2	-11.41
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PNRC1	18.0	3	-9.01
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GTSF1L	0.0	2	-12.94
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SLC2A4	0.3	5	-15.63
hsa-miR-335-5p	RP11-2E11.6	0.1	1	AMPD3	1.0	18	-12.85
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZBTB10	2.0	5	-16.7
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NEUROD4	0.0	1	-10.62
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RCVRN	0.0	2	-8.86
hsa-miR-335-5p	RP11-2E11.6	0.1	1	C17orf50	0.1	3	-8.71
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NBEA	0.9	8	-10.43
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GSG1L	0.0	5	-11.37
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TMEM155	0.0	8	-10.41
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ANKRD22	5.0	2	-13.77
hsa-miR-335-5p	RP11-2E11.6	0.1	1	COL6A1	25.0	7	-12.46
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DNAAF2	2.0	2	-8.76
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CYTH3	3.0	11	-11.62
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ADH7	0.0	6	-11.6
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MROH9	0.0	3	-13.54
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FZD10	0.1	2	-8.06
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NOS3	1.0	10	-11.15
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CPEB4	4.0	10	-12.94
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SPRED1	1.0	3	-11.34
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DRD5	0.0	1	-8.7
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CD46	23.0	18	-11.43
