Approved Symbol	Synonyms	Chromosome	Entrez Gene ID	Gene Family Name
A1BG		19q13.43	1	Immunoglobulin-like domain containing
A1BG-AS1	FLJ23569	19q13.43	503538	
A1CF	ACF, ASP, ACF64, ACF65, APOBEC1CF	10q21.1	29974	RNA binding motif containing
A2M	FWP007, S863-7, CPAMD5	12p13.31	2	
A2M-AS1		12p13.31	144571	
A2ML1	FLJ25179	12p13	144568	
A2ML1-AS1		12p13.31		
A2ML1-AS2		12p13.31		
A2MP1		12p13.31	3	
A3GALT2	IGBS3S, IGB3S	1p35.1	127550	Glycosyltransferase family 6
A4GALT	A14GALT, Gb3S, P(k)	22q13.2	53947	Alpha 1,4-glycosyltransferases
A4GNT	alpha4GnT	3p14.3	51146	Alpha 1,4-glycosyltransferases
AAAS		12q13	8086	WD repeat domain containing|Nucleoporins
AACS	FLJ12389, SUR-5, ACSF1	12q24.31	65985	Acyl-CoA synthetase family
AACSP1		5q35	729522	
AADAC	DAC, CES5A1	3q25.1	13	Arylacetamide deacetylase family|Lipases
AADACL2	MGC72001	3q25.1	344752	Arylacetamide deacetylase family
AADACL2-AS1		3q25.1	101928142	
AADACL3	OTTHUMG00000001887	1p36.21	126767	Arylacetamide deacetylase family
AADACL4	OTTHUMG00000001889	1p36.21	343066	Arylacetamide deacetylase family
AADACP1		3q25.1	201651	
AADAT	KATII, KAT2	4q33	51166	
AAED1		9q22.32	195827	
AAGAB	FLJ11506, p34	15q23	79719	
AAK1	KIAA1048, DKFZp686K16132	2p13.3	22848	
AAMDC	PTD015, FLJ21035, CK067	11q14.1	28971	
AAMP		2q	14	WD repeat domain containing
AANAT	SNAT	17q25.1	15	GCN5 related N-acetyltransferases
AAR2	bA234K24.2	20q11.23	25980	
AARD	LOC441376	8q24.11	441376	
AARS	CMT2N	16q22.1	16	Aminoacyl tRNA synthetases, Class II
AARS2	KIAA1270, bA444E17.1	6p21.1	57505	Aminoacyl tRNA synthetases, Class II
AARSD1	MGC2744	17q21.31	80755	
AARSP1		4q28.3		
AASDH	NRPS998, LYS2, ACSF4	4q12	132949	Acyl-CoA synthetase family
AASDHPPT	LYS5, CGI-80, AASD-PPT, ACPS	11q22	60496	
AASS	LORSDH, LKRSDH	7q31.3	10157	
AATBC		21q22.3	284837	Long non-coding RNAs
AATF	DED, CHE-1, CHE1, BFR2	17q12	26574	
AATK	AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	9625	Protein phosphatase 1 regulatory subunits|Receptor Tyrosine Kinases
AATK-AS1		17q25.3	388428	
AAVS1	AAV	19q13	17	
ABALON	INXS	20q11.21	103021294	Long non-coding RNAs
ABAT	GABAT	16p13.2	18	
ABCA1	TGD	9q31	19	ATP binding cassette subfamily A
ABCA2		9q34	20	ATP binding cassette subfamily A
ABCA3	ABC-C, EST111653, LBM180	16p13.3	21	ATP binding cassette subfamily A
ABCA4	FFM, ARMD2, CORD3	1p22	24	ATP binding cassette subfamily A
ABCA5	EST90625	17q24.3	23461	ATP binding cassette subfamily A
ABCA6	EST155051	17q21	23460	ATP binding cassette subfamily A
ABCA7	ABCX	19p13.3	10347	ATP binding cassette subfamily A
ABCA8	KIAA0822	17q24	10351	ATP binding cassette subfamily A
ABCA9	EST640918	17q24	10350	ATP binding cassette subfamily A
ABCA9-AS1		17q24.2		
ABCA10	EST698739	17q24	10349	ATP binding cassette subfamily A
ABCA11P	EST1133530, FLJ14297	4p16.3	79963	ATP binding cassette subfamily A
ABCA12	DKFZP434G232, LI2	2q34	26154	ATP binding cassette subfamily A
ABCA13	FLJ33876, FLJ33951	7p12.3	154664	ATP binding cassette subfamily A
ABCA17P		16p13.3	650655	ATP binding cassette subfamily A
ABCB1	P-gp, CD243, GP170, ABC20	7q21.12	5243	CD molecules|ATP binding cassette subfamily B
ABCB4	MDR2, PFIC-3, GBD1	7q21	5244	ATP binding cassette subfamily B
ABCB5	EST422562, ABCB5beta, ABCB5alpha	7p14	340273	ATP binding cassette subfamily B
ABCB6	EST45597, umat, MTABC3	2q36	10058	ATP binding cassette subfamily B
ABCB7	EST140535, Atm1p, ASAT	Xq13.3	22	ATP binding cassette subfamily B
ABCB8	EST328128, M-ABC1, MABC1	7q36.1	11194	ATP binding cassette subfamily B
ABCB9	EST122234	12q24	23457	ATP binding cassette subfamily B
ABCB10	EST20237, M-ABC2, MTABC2	1q32	23456	ATP binding cassette subfamily B
ABCB10P1	M-ABC2, MABC2	15q11.2	56476	
ABCB10P3		15q13.1	728248	
ABCB10P4		15q13.1	100132289	
ABCB11	ABC16, SPGP, PFIC-2, PGY4	2q24	8647	ATP binding cassette subfamily B
ABCC1	GS-X	16p13.1	4363	ATP binding cassette subfamily C
ABCC2	DJS, MRP2, cMRP	10q24	1244	ATP binding cassette subfamily C
ABCC3	MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21	8714	ATP binding cassette subfamily C
ABCC4	MRP4, EST170205, MOAT-B, MOATB	13q31	10257	ATP binding cassette subfamily C
ABCC5	MRP5, SMRP, EST277145, MOAT-C	3q27	10057	ATP binding cassette subfamily C
ABCC5-AS1		3q27.1		
ABCC6	MRP6, EST349056, MLP1, URG7	16p13.11	368	ATP binding cassette subfamily C
ABCC6P1		16p12.3	653190	Functional pseudogenes
ABCC6P2		16p13.11	730013	
ABCC8	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	6833	ATP binding cassette subfamily C
